Аральский, пер., рус
Камишова, вул., укр
Камська, вул., укр
Кам'янець-Подільська, вул., укр
Кам'янець-Подільський, пров., укр
Канатний, пров., укр
Кандаурова, вул., укр
Кантемира, пров., укр
Каплунівський, пров., укр
Капниста, пров., укр
Капустянська, вул., укр
Капустянський, пров., укр
Карагандинська, вул., укр
Каразіна, вул., укр
Каракозова, пров., укр
Карамзина, вул., укр
Карбишева, пров., укр
Кар'єрна, вул., укр
Кар'єрний, пров., укр
Каринської, вул., укр
Карла Маркса, пл., укр
Кармелюка, вул., укр
Карнакова, пров., укр
Карпатська, вул., укр
Карпатський, пров., укр
Карпинського, вул., укр
Карповська, вул., укр
Карповський, пров., укр
Карташівська, вул., укр
Карташівський, пров., укр
Катаєва, вул., укр
Катерининська, вул., укр
Каховська, вул., укр
Каховський 1-й, пров., укр
Каховський 2-й, пров., укр
Качанівська, вул., укр
Качанівський, пров., укр
Каширського, вул., укр
Каштанова, вул., укр
Кашуби, вул., укр
Квіткинська, вул., укр
Квітки-Основ'яненко, вул., укр
Квіткова, вул., укр
Квітуча, вул., укр
Квітучий, пров., укр
Кегичівська, вул., укр
Кедровий, пров., укр
Кемерівська, вул., укр
Керамічна, вул., укр
Керамічний 4-й, пров., укр
Керамічний1-й, пров., укр
Керченська, вул., укр
Керченський, пров., укр
Кибальчича, вул., укр
Київська, вул., укр
Кипарисова, вул., укр
Киргизька, вул., укр
Кирилівська, вул., укр
Кирилівський, пров., укр
Кирпичова, вул., укр
Кисловодська, вул., укр
Кисловодський, пров., укр
Кисляк, вул., укр
Китаєнка, вул., укр
Кільцева, вул., укр
Кільцевий 1-й, пров., укр
Кільцевий 2-й, пров., укр
Кіпренський, пров., укр
Кітляров, пров., укр
Класичний, пров., укр
Клеверний, пров., укр
Клейменівська, вул., укр
Кленова, вул., укр
Клещівський, пров., укр
Клинська, вул., укр
Клочківська, вул., укр
Клочківський, пров., укр
Клочкова, пров., укр
Клочкова Василя, вул., укр
Клубна, вул., укр
Ключова, вул., укр
Книшевський, пров., укр
Кобзарський, пров., укр
Ковпака, вул., укр
Ковтуна, вул., укр
Ков'язький, пров., укр
Козацька, вул., укр
Козюлинська, вул., укр
Козюлинський, пров., укр
Коксова, вул., укр
Коксовий, пров., укр
Кокчетавська, вул., укр
Колективна, вул., укр
Колекторна, вул., укр
Колесніченковська, вул., укр
Колісниченківський 1-й, пров., укр
Колісниченківський 3-й, пров., укр
Колісніченківський 2-й, пров., укр
Колодязна, вул., укр
Колодязний, пров., укр
Коломацький, пров., укр
Коломенська, вул., укр
Колонна, вул., укр
Колонний 1-й, пров., укр
Колонний 2-й, пров., укр
Колонний 3-й, пров., укр
Колонний 4-й, пров., укр
Колосиста, вул., укр
Колосистий, пров., укр
Кольський, пров., укр
Кольцовська, вул., укр
Комбайнівська, вул., укр
Комишанська, вул., укр
Комітетська, вул., укр
Комунальна, вул., укр
Кондукторська, вул., укр
Кондукторський, пров., укр
Конєва, вул., укр
Коновалова, вул., укр
Коновченка, вул., укр
Коновченка, пров., укр
Конопляна, вул., укр
Конопляний, пров., укр
Конопльова, вул., укр
Конотопська, вул., укр
Конотопський, пров., укр
Константинівська, вул., укр
Конструкторська, вул., укр
Конторська, вул., укр
Конторський, пров., укр
Конюшений, пров., укр
Кооперативна, вул., укр
Коперника, вул., укр
Копиленко, вул., укр
Копиловська, вул., укр
Копиловський, пров., укр
Корабельна, вул., укр
Корейський, пров., укр
Коробейниковий, пров., укр
Короленка, вул., укр
Короленка, пров., укр
Короленко, вул., укр
Коростельська, вул., укр
Коростельський, пров., укр
Короткий, пров., укр
Коротченківська, вул., укр
Короченківський, пров., укр
Корсиковський, пров., укр
Корсунська, вул., укр
Коршунова, вул., укр
Косарєва, вул., укр
Космічна, вул., укр
Космонавтів, вул., укр
Костичева, вул., укр
Костомарівська, вул., укр
Костромська, вул., укр
Костромський, пров., укр
Костюринський, пров., укр
Костянтина Калініна, вул., укр
Костянтина Калініна, пров., укр
Костьольна, вул., укр
Котельна, вул., укр
Котельний, пров., укр
Котельніківська, вул., укр
Котласька, вул., укр
Котляревського, вул., укр
Котляри, пров., укр
Котлярський 1-й, пров., укр
Котлярський 2-й, пров., укр
Кохання, вул., укр
Кохання, пров., укр
Коцарська, вул., укр
Коцюбинського, вул., укр
Кочубіївська, вул., укр
Кошевого, вул., укр
Кошевого, пров., укр
Кошкіна, вул., укр
Кравцова, пров., укр
Кражевищицька, вул., укр
Крамаренківська, вул., укр
Краматорська, вул., укр
Краматорський, пров., укр
Крамчанинівська, вул., укр
Крапивницького, вул., укр
Крапивницького, пров., укр
Красноводський, пров., укр
Красноградська, вул., укр
Краснодарська, вул., укр
Краснодарський, пров., укр
Краснодарський 2-й, пров., укр
Краснозорська, вул., укр
Краснокутська, вул., укр
Краснокутський, пров., укр
Краснопільська, вул., укр
Красноярська, вул., укр
Красноярський, пров., укр
Кременчузька, вул., укр
Кременчуцька, вул., укр
Кривоконівська, вул., укр
Кривоконівський, пров., укр
Кривомазова, вул., укр
Криворізька, вул., укр
Криворізький, пров., укр
Крилова, вул., укр
Крилова, пров., укр
Кримська, вул., укр
Криничний, пров., укр
Кричевського, вул., укр
Кричевського, пров., укр
Кришталевий, пров., укр
Кромська, вул., укр
Кронштадська, вул., укр
Кронштадський, пров., укр
Крохмалевський, пров., укр
Кругова, вул., укр
Крутогірський, пров., укр
Крушельницького, вул., укр
Крушельницького, пров., укр
Крюківська, вул., укр
Крючонкіна, вул., укр
Кубанська, вул., укр
Кубасова, пров., укр
Кубраківський, пров., укр
Кузнецька, вул., укр
Кузнецький, пров., укр
Кузнечний, пров., укр
Кулєшова, вул., укр
Кулєшова, пров., укр
Куликівська, вул., укр
Кулиничівська, вул., укр
Кулиничівський, пров., укр
Кулібіна, пров., укр
Куліша, вул., укр
Кульбицький, пров., укр
Культкомівська, вул., укр
Культури, вул., укр
Кульчицького, вул., укр
Куп'янська, вул., укр
Кураховська, вул., укр
Курбаса, вул., укр
Курганський, пров., укр
Курилівська, вул., укр
Курська, вул., укр
Курський, пров., укр
Курчатова, пров., укр
Куряжанська, вул., укр
Куряжанський, пров., укр
Кустанайська, вул., укр
Кустанайський, пров., укр
Кутаїська, вул., укр
Кутєпова, вул., укр
Кутова, вул., укр
Кутузівська, вул., укр
Кучеренка, вул., укр
Кучеренка, пров., укр
Лаврика, вул., укр
Ладигіна, пров., укр
Ладозький, пров., укр
Лазаревича, вул., укр
Лазківка-Лужок, вул., укр
Лазківська, вул., укр
Лазківський, пров., укр
Ландау, вул., укр
Ландау, пров., укр
Латвійська, вул., укр
Латвійський, пров., укр
Латишева, вул., укр
Лафарга, вул., укр
Лафарга, пров., укр
Лебединська, вул., укр
Лебединця, вул., укр
Лебедя Кумача, вул., укр
Левченка, вул., укр
Леднянський, пров., укр
Лейпунського, вул., укр
Лейпунського, пров., укр
Лелюківська, вул., укр
Лелюківський, пров., укр
Ленкоранська, вул., укр
Леоніда Бикова, вул., укр
Леоніда Бикова, пров., укр
Леоніда Собінова, вул., укр
Лермонтовська, вул., укр
Лесі Українки, вул., укр
Леся Сердюка, вул., укр
Лиманська, вул., укр
Лиманський, пров., укр
Липецька, вул., укр
Липова, вул., укр
Липцівська, вул., укр
Лиса, вул., укр
Лисаветинська, вул., укр
Лисенко, вул., укр
Лисичанська, вул., укр
Лисогірський, пров., укр
Листяний, пров., укр
Литвинівська, вул., укр
Лінійна, вул., укр
Лінійний, пров., укр
Лісова, вул., укр
Лісозахистна, вул., укр
Лісозахистний, пров., укр
Лісопарківська, вул., укр
Лісопарківський 1-й, пров., укр
Лісопарковий 2-й, пров., укр
Літературна, вул., укр
Лобачевська, вул., укр
Ловцова, вул., укр
Лодзька, вул., укр
Лозівська, вул., укр
Лозовенківський, просп., укр
Локомотивна, вул., укр
Ломоносова, вул., укр
Ломоносова, пров., укр
Лопанська, вул., укр
Лопанський, пров., укр
Лосівська, вул., укр
Луганська, вул., укр
Лугівська, вул., укр
Лугівський, пров., укр
Лугова, вул., укр
Луговий 2-й, вул., укр
Луі Пастера, вул., укр
Луі Пастера, пров., укр
Лук'янівська, вул., укр
Лучківська, вул., укр
Лучківський, пров., укр
Любмили Гурченко, пров., укр
Любові Малої, просп., укр
Люботинський, пров., укр
Людвіга Свободи, вул., укр
Людвіга Свободи, просп., укр
Люсинська, вул., укр
Лютівська, вул., укр
Лялі Убийвовк, вул., укр
Ляпунова, вул., укр
Льва Ландау, просп., укр
Льговська, вул., укр
Магаданська, вул., укр
Магістральна, вул., укр
Магнітогорська, вул., укр
Майкопський, вул., укр
Майкопський, пров., укр
Маївки 1-й, пров., укр
Макарівська, вул., укр
Макіївська, вул., укр
Макіївський, пров., укр
Маковий, пров., укр
Маковського, вул., укр
Маковського, пров., укр
Максиміліанівська, вул., укр
Мала Гончарівська, вул., укр
Мала Кільцева, вул., укр
Мала Панасівська, вул., укр
Малиновська, вул., укр
Малишева, вул., укр
Малишева, пров., укр
Маліновського, вул., укр
Мало-Джанкійська, вул., укр
Мало-Московська, вул., укр
Малом'ясницька, вул., укр
Мало-Черновський, пров., укр
Манагарова, вул., укр
Маневровий, пров., укр
Манізера, вул., укр
Манченківська, вул., укр
Маргариновий, пров., укр
Маримонтська, вул., укр
Мар'ївська, вул., укр
Маріїнська, вул., укр
Маріупольський, пров., укр
Марка Бернеса, вул., укр
Марка Вовчка, вул., укр
Марфінська, вул., укр
Маршака, вул., укр
Маршака, пров., укр
Маршала Бажанова, вул., укр
Маршала Батицького, вул., укр
Маршала Конєва, вул., укр
Маршла Жукова, просп., укр
Маряненко, пров., укр
Масивна, вул., укр
Матеріалистичний, пров., укр
Матронінська, вул., укр
Матронінський, пров., укр
Матросова, вул., укр
Матюшенко, вул., укр
Машиністів, вул., укр
Машиністів, пров., укр
Машинобудівників, вул., укр
Машинобудівників, пров., укр
Машинобудівників, просп., укр
Маяковського, вул., укр
Менделєєва, вул., укр
Металіста, вул., укр
Металіста, пров., укр
Металургічна, вул., укр
Метизний, пров., укр
Метробудівників, вул., укр
Метробудівський, пров., укр
Мефодіївська, вул., укр
Механичний, пров., укр
Механізаторів, вул., укр
Механізаторський, пров., укр
Мжовський, пров., укр
Микитенка, вул., укр
Микитенко, пров., укр
Микитинський, пров., укр
Миколаїва, вул., укр
Миколи Алексіна, пров., укр
Миколи Бажана, вул., укр
Миколи Манойла, вул., укр
Миколи Міхновського, вул., укр
Миргородська, вул., укр
Мирна, вул., укр
Миролюбива, вул., укр
Миролюбна, вул., укр
Миронівська, вул., укр
Мироносицька, вул., укр
Миру, бульв., укр
Миру, вул., укр
Миру, пров., укр
Мистецтв, вул., укр
Митрофанівська, вул., укр
Митрофанівський, пров., укр
Михайла Водяного, вул., укр
Михайла Зеленіна, вул., укр
Михайла Петренка, вул., укр
Михайлика, вул., укр
Михайлівська, вул., укр
Мичурина, вул., укр
Міжнародна, вул., укр
Мінераловодна, вул., укр
Мінеральна, вул., укр
Мінеральний 1-й, пров., укр
Мінеральний 2-й, пров., укр
Мініна, вул., укр
Мінська, вул., укр
Мінський, пров., укр
Місцева, вул., укр
Міськрадівська, вул., укр
Мітингова, вул., укр
Мітинговий, пров., укр
Міхаловського, вул., укр
Мічуріна, пров., укр
Млотковського, вул., укр
Могилівська, вул., укр
Могилівський, пров., укр
Моєчна, вул., укр
Можайського, вул., укр
Мозерський, пров., укр
Мойсеївська, вул., укр
Молода Гвардія, вул., укр
Молодіжна, вул., укр
Молодогвардійська, вул., укр
Молодості, вул., укр
Молочна, вул., укр
Молчанівський, пров., укр
Монтажна, вул., укр
Монюшко, вул., укр
Морозова, вул., укр
Моршанська, вул., укр
Моршанський, пров., укр
Москаленка, вул., укр
Москаленка, пров., укр
Москалівська, вул., укр
Москвіна, пров., укр
Московська, вул., укр
Московський, просп., укр
Моторна, вул., укр
Мохначанська, вул., укр
Моцарта, вул., укр
Музикальна, вул., укр
Муравйова, вул., укр
Мурманська, вул., укр
Мурмилівський, пров., укр
Муромська, вул., укр
Муромський, пров., укр
Мусорський, пров., укр
Мухачова, вул., укр
Набойченка Петра, вул., укр
Нагірна, вул., укр
Надбірна, вул., укр
Надіївська, вул., укр
Надточіївська, вул., укр
Нанайський, пров., укр
Нарвська, вул., укр
Наринська, вул., укр
Народна, вул., укр
Нарофомінська, вул., укр
Науки, просп., укр
Наукова, вул., укр
Наумівська, вул., укр
Нахімова, вул., укр
Нахімова, пров., укр
Нахічеванський, пров., укр
Небоженківська, вул., укр
Невельська, вул., укр
Невельський, пров., укр
Незалежності, просп., укр
Незаможний, пров., укр
Некрасова, вул., укр
Неманська, вул., укр
Неманський, пров., укр
Немишлянська, вул., укр
Нестерова, вул., укр
Нетіченська, вул., укр
Нетіченський, пров., укр
Неходи Івана, пров., укр
Нечаївський, пров., укр
Нечуя-Левицького, вул., укр
Нємкіна, вул., укр
Нижегородська, вул., укр
Нижня, вул., укр
Нижня Гиївська, вул., укр
Нижня Сокільницька, вул., укр
Низова, вул., укр
Никонівська, вул., укр
Никонівський, пров., укр
Ніжинська, вул., укр
Ніжинський, пров., укр
Нікітіна, вул., укр
Ніколаєва, вул., укр
Нікопольська, вул., укр
Нова, вул., укр
Нова Помірчанська, вул., укр
Нова Чуйківська, вул., укр
Новгородська, вул., укр
Новий 1-й, пров., укр
Новий Побут, вул., укр
Новий Побут, пров., укр
Новиківський, пров., укр
Новицька, вул., укр
Новицький, пров., укр
Ново-Баварський, просп., укр
Новобакинська, вул., укр
Ново-Віринська, вул., укр
Новодаргомижська, вул., укр
Новодесятисажнева, вул., укр
Новожанівська, вул., укр
Новожанівський, пров., укр
Новоісаївський, пров., укр
Новоконопляний, пров., укр
Новомирна, вул., укр
Новомирська, вул., укр
Новомирський, пров., укр
Новомосковська, вул., укр
Новом'ясницька, вул., укр
Новонабережна, вул., укр
Новоолександрівська, вул., укр
Новоолександрівський, пров., укр
Новоолексіївська, вул., укр
Новоприміська, вул., укр
Новоприміський, пров., укр
Новоприміський 5-й, пров., укр
Новопроектна, вул., укр
Новопролетарська, вул., укр
Новопрудна, вул., укр
Новоросійський, пров., укр
Новорубанівський, пров., укр
Ново-Румянцівська, вул., укр
Новоселищна, вул., укр
Новоселищний, пров., укр
Новоселівська, вул., укр
Новоселівський, пров., укр
Новосибірська, вул., укр
Ново-Толкачівський, пров., укр
Новохарківська, вул., укр
Новохатська, вул., укр
Новочеркаська, вул., укр
Новочеркаський, пров., укр
Новошишківська, вул., укр
Новошишківський, пров., укр
Ново-Шишковська, вул., укр
Ногайський, пров., укр
Ногіна, пров., укр
Ньютона, вул., укр
Обоянська, вул., укр
Обхідний, пров., укр
Овражна, вул., укр
Овражний, пров., укр
Огарівська, вул., укр
Одеська, вул., укр
Одинадцятого Липня, вул., укр
Одинадцятого Липня, пров., укр
Одоєвський, пров., укр
Озерна, вул., укр
Озерний, пров., укр
Озерянська, вул., укр
Озерянський, пров., укр
Ойротська, вул., укр
Ойротський, пров., укр
Океанський, пров., укр
Оксамитовий, пров., укр
Оксанський, пров., укр
Олександра Бабкіна, пров., укр
Олександра Натієва, пров., укр
Олександра Невського, вул., укр
Олександра Невського, пров., укр
Олександрівська, вул., укр
Олександрівський, пров., укр
Олександрівський, просп., укр
Олексіївська, вул., укр
Олеся Гончара, вул., укр
Олімпійська, вул., укр
Ольгінська, вул., укр
Омська, вул., укр
Омський 1-й, пров., укр
Омський 2-й, пров., укр
Онезька, вул., укр
Онищенківський, пров., укр
Орача, вул., укр
Орача 1-й, пров., укр
Орача 2-й, пров., укр
Орджонікідзе, вул., укр
Оренбурзька, вул., укр
Орєшкова, вул., укр
Орільський, пров., укр
Оріхівська, вул., укр
Орловська, вул., укр
Орловський, пров., укр
Орська, вул., укр
Орський 1-й, пров., укр
Орський 2-й, пров., укр
Оршанський, пров., укр
Освітянська, вул., укр
Осетинська, вул., укр
Осетинський, пров., укр
Осипенко, вул., укр
Осипенко, пров., укр
Осиповського, вул., укр
Осінній, пров., укр
Оскільська, вул., укр
Основ'янська, вул., укр
Основ'янський, пров., укр
Остапа Вишні, вул., укр
Острівна, вул., укр
Остроградський, пров., укр
Отакара Яроша, вул., укр
Офіцерська, вул., укр
Охотська, вул., укр
Охтинська, вул., укр
Охтинський, пров., укр
Охтирська, вул., укр
Очаківська, вул., укр
Очаківський, пров., укр
Очеретянська, вул., укр
Ощєпкова, вул., укр
Павла Скоропадського, вул., укр
Павленківська, вул., укр
Павленківський, пров., укр
Павлівська, вул., укр
Палладіна, вул., укр
Панаса Мирного, вул., укр
Пантелеймонівська, вул., укр
Панфілівців, вул., укр
Панютінський, пров., укр
Парашанська, вул., укр
Парашутистів, вул., укр
Парниківський, пров., укр
Паровозна, вул., укр
Партизанська, вул., укр
Пащенківська, вул., укр
Первомайський, пров., укр
Переїзна, вул., укр
Перекопська, вул., укр
Перемоги, пров., укр
Перемоги, просп., укр
Переможна, вул., укр
Переможців, вул., укр
Переможців, пров., укр
Перехресна, вул., укр
Переяславська, вул., укр
Пермська, вул., укр
Пермський, пров., укр
Перовської, вул., укр
Першого Травня, вул., укр
Першотравневий, пров., укр
Пестеля, вул., укр
Пестрікова, вул., укр
Петра Болбочана, вул., укр
Петра Григоренка, просп., укр
Петра Тронька, вул., укр
Петра Тронька, пров., укр
Петрашевського, вул., укр
Петрашівський, пров., укр
Петренківська, вул., укр
Петренківська 1-а, вул., укр
Петренківська 2-а, вул., укр
Петренківська 3-а, вул., укр
Петренківський, пров., укр
Петренківський 1-й, пров., укр
Петренківський 2-й, пров., укр
Петренківський 3-й, пров., укр
Петрівський, пров., укр
Петрозаводська, вул., укр
Петрозаводський, пров., укр
Печенізька, вул., укр
Печерська, вул., укр
Печерський, пров., укр
Пєшкова, вул., укр
Пилипівська, вул., укр
Пильчикова, вул., укр
Пирогова, вул., укр
Писарєва, вул., укр
Писемського, вул., укр
Писемського, пров., укр
Пискунівський, пров., укр
Південна, вул., укр
Південнопроектна, вул., укр
Північна, вул., укр
Північний, пров., укр
Північно-Донецька, вул., укр
Північнокавказська, вул., укр
Північно-Кавказька, вул., укр
Північнокавказький 1-й, пров., укр
Підборівська, вул., укр
Підвітряний, пров., укр
Підгірна, вул., укр
Підгорного, вул., укр
Підйомна, вул., укр
Підлісна, вул., укр
Підривний, пров., укр
Підшипнікова, вул., укр
Підшипніковий, пров., укр
Пілотів, пров., укр
Піхотна, вул., укр
Піхотний, пров., укр
Піщана, вул., укр
Піщаний, вул., укр
Піщаний, пров., укр
Планерна, вул., укр
Планерний, пров., укр
Планетна, вул., укр
Планова, вул., укр
Плановий, пров., укр
Пластичний, пров., укр
Плетнівський, пров., укр
Плеханівська, вул., укр
Плеханівський, пров., укр
Плиткова, вул., укр
Плитковий, пров., укр
Плиточна, вул., укр
Плодородна, вул., укр
Плодородний, пров., укр
Плодородний 1-й, пров., укр
Повстання, вул., укр
Погорілка, вул., укр
Подільський, пров., укр
Пожарського, вул., укр
Познанська, вул., укр
Покко, вул., укр
Покотилівська, вул., укр
Покотилівський, пров., укр
Полежаєва, вул., укр
Полєнова, вул., укр
Ползунова, пров., укр
Поліграфічна, вул., укр
Поліканова, вул., укр
Половецька, вул., укр
Полтавский Шлях, вул., укр
Полтавська, вул., укр
Полтавський Шлях, вул., укр
Полтавський шлях, вул., укр
Полярна, вул., укр
Польова, вул., укр
Польовий, пров., укр
Помірки, вул., укр
Помяловського, пров., укр
Пономаренківська, вул., укр
Пономаренківський, пров., укр
Пономарівська, вул., укр
Пономарівський, пров., укр
Поперечна 1-а, вул., укр
Попова, пров., укр
Порічкова, вул., укр
Портова, вул., укр
Потебні, вул., укр
Поштовий, пров., укр
Праці, вул., укр
Праці, пров., укр
Працюючих, вул., укр
Пржевальського, вул., укр
Приамурська, вул., укр
Приамурський 1-й, пров., укр
Приамурський 2-й, пров., укр
Привокзальна, вул., укр
Привокзальний, пров., укр
Приймаківська, вул., укр
Прикордонна, вул., укр
Примерівська, вул., укр
Прирічкова, вул., укр
Прирічковий 2-й, пров., укр
Прирічковий 3-й, пров., укр
Приходьківська, вул., укр
Приходьковський, пров., укр
Причепилівський, пров., укр
Прогінна, вул., укр
Прогінний, пров., укр
Прогрес, вул., укр
Прогресивна, вул., укр
Прогресивний, пров., укр
Продольний, пров., укр
Проектна, вул., укр
Проїзний, пров., укр
Пролетарська, вул., укр
Пролетарська, пл., укр
Пролетарський, пров., укр
Променистий, пров., укр
Промислова, вул., укр
Прорізна, вул., укр
Проскурівська, вул., укр
Проспектна, вул., укр
Протапенка, пров., укр
Професорська, вул., укр
Профспілкова, вул., укр
Профспілковий, бульв., укр
Прохолодний, пров., укр
Прудна, вул., укр
Прудний, пров., укр
Прудний 1-й, пров., укр
Прудний 2-й, пров., укр
Псарівський, пров., укр
Псковська, вул., укр
Пулавська, вул., укр
Пулковська, вул., укр
Пулковський, пров., укр
Путивельський, пров., укр
Путилівський, вул., укр
Пушкарівська, вул., укр
Пушкарівський, пров., укр
Пушкінська, вул., укр
Пушкревська, вул., укр
П'ятдесятиріччя ВЛКСМ, просп., укр
П'ятдесятиріччя СРСР, просп., укр
П'ятигорський, пров., укр
П'ятисотницька, вул., укр
Пятихатська, вул., укр
Радишева, вул., укр
Радіотехнічна, вул., укр
Радіотехнічний 1-й, пров., укр
Радіотехнічний 2-й, пров., укр
Раднянська, вул., укр
Радужна, вул., укр
Раєвської, вул., укр
Разіна, вул., укр
Райгородська, вул., укр
Райгородський, пров., укр
Районний, пров., укр
Райрадянський, пров., укр
Ранковий, пров., укр
Раскової, вул., укр
Расторгуївський, пров., укр
Революції 1905 року, вул., укр
Регістраторський, пров., укр
Резервна, вул., укр
Резервний, пров., укр
Рекордна, вул., укр
Рекордний, пров., укр
Рельєфна, вул., укр
Ремеслений, пров., укр
Республіканська, вул., укр
Речицький, пров., укр
Решетєя, вул., укр
Решетниківський, пров., укр
Решетняківський, вул., укр
Решетняківський, пров., укр
Решетькінська, вул., укр
Рєдіна, вул., укр
Рєпіна, вул., укр
Рєпінський, пров., укр
Ржевський, пров., укр
Рибалка, вул., укр
Рибасівський, пров., укр
Рижівська, вул., укр
Рижівський, пров., укр
Ризький, пров., укр
Риківська, вул., укр
Рилєєва, вул., укр
Рилєєва, пров., укр
Римарська, вул., укр
Рівний, вул., укр
Рівний, пров., укр
Різдвяна, вул., укр
Різниківський, пров., укр
Ріякінська, вул., укр
Ріякінський, вул., укр
Робесп'єра, вул., укр
Робесп'єра, пров., укр
Робітничий, пров., укр
Робкорівська, вул., укр
Робкорівський, пров., укр
Роганська, вул., укр
Роганський, пров., укр
Рогатинська Левада, вул., укр
Рогатинський, пров., укр
Родникова, вул., укр
Роздольський, пров., укр
Роз'їзний, пров., укр
Розторгуєвський, пров., укр
Рокитна, вул., укр
Ромашкіна, вул., укр
Ромашова, вул., укр
Ромен Роллана, вул., укр
Роменська, вул., укр
Роменський, пров., укр
Росинського, вул., укр
Росинського, пров., укр
Ростовська, вул., укр
Рохманівський, пров., укр
Рубанівська, вул., укр
Рубанівський, пров., укр
Рубежанський, пров., укр
Рудаківська, вул., укр
Руденка, вул., укр
Руденка, пров., укр
Руденко, пров., укр
Рудика, вул., укр
Рудінська, вул., укр
Рудничний 1-й, пров., укр
Рудничний 3-й, пров., укр
Румянцівська, вул., укр
Румянцівський, пров., укр
Руслана Плоходька, вул., укр
Руставелі, вул., укр
Руставелі, пров., укр
Рябінова, вул., укр
Рязанська, вул., укр
Саблєва, вул., укр
Сабурівська, вул., укр
Сабурівський, пров., укр
Сагайдачного, вул., укр
Садибна, вул., укр
Садова, вул., укр
Садовий, бульв., укр
Садовий, пров., укр
Садовонабережна, вул., укр
Садовопаркова, вул., укр
Садовських, пров., укр
Саксаганського, вул., укр
Саксаганського, пров., укр
Салтикова-Щедріна, вул., укр
Салтівський, пров., укр
Самаркандська, вул., укр
Самаркандський, пров., укр
Самарська, вул., укр
Самодіяльна, вул., укр
Самокіша, вул., укр
Самолітна, вул., укр
Самоніна, пров., укр
Самсонівська, вул., укр
Санжарівська, вул., укр
Санжарівський, пров., укр
Саперна, вул., укр
Саперний, пров., укр
Саратовська, вул., укр
Саржинська, вул., укр
Сахалінська, вул., укр
Сахновщанська, вул., укр
Сватівська, вул., укр
Свинаренко Петра, вул., укр
Свирського, вул., укр
Свистуна, вул., укр
Свистунова, вул., укр
Світла, вул., укр
Світланівська, вул., укр
Світло Шахтаря, вул., укр
Світло Шахтаря, пров., укр
Свободи, вул., укр
Святодухівська, вул., укр
Севастопольська, вул., укр
Северина Потоцького, вул., укр
Северина Потоцького, пров., укр
Сегія Тархова, вул., укр
Селекційна, вул., укр
Селіванова, вул., укр
Селянська, вул., укр
Селянський, пров., укр
Семафорна, вул., укр
Семафорний, пров., укр
Семена Кузнеця, вул., укр
Семена Кузнеця, пров., укр
Семиградська, вул., укр
Семиградський, пров., укр
Семінарська, вул., укр
Семка, вул., укр
Сенявіна, вул., укр
Серафімовича, вул., укр
Серафімовича, пров., укр
Сергіївська, вул., укр
Сергія Борзенка, вул., укр
Сергія Борзенко, вул., укр
Серебряківська, вул., укр
Серебряківський, пров., укр
Серебрякової, вул., укр
Середівська, вул., укр
Середня Сокільницька, вул., укр
Середньоуральська, вул., укр
Середньоуральський, пров., укр
Сержантська, вул., укр
Сержантський, пров., укр
Серпова, вул., укр
Сестрорецький, пров., укр
Сеченова, вул., укр
Сєдова, вул., укр
Сибірська, вул., укр
Сибірський, пров., укр
Сиваська, вул., укр
Сидельниківський, пров., укр
Сидоренківська, вул., укр
Сидоренковська, вул., укр
Сизранський, пров., укр
Симофорний, пров., укр
Сичівський, пров., укр
Сіверська, вул., укр
Сількорівський, пров., укр
Сільськогосподарська, вул., укр
Сімферопільська, вул., укр
Сімферопольський, пров., укр
Сінна, вул., укр
Сінний 1-й, пров., укр
Сінний 2-й, пров., укр
Сінний 3-й, пров., укр
Сіриківська, вул., укр
Сіриківський, пров., укр
Січовий, пров., укр
Січових Стрільців, вул., укр
Скадовського, пров., укр
Скачкова, вул., укр
Скоболєвська, вул., укр
Сковородинівська, вул., укр
Сковородинівський, пров., укр
Скрипника, вул., укр
Слави, просп., укр
Слатіна, вул., укр
Сливовий, пров., укр
Слобожанська, вул., укр
Словацький, пров., укр
Слов'янська, вул., укр
Службова, вул., укр
Слюсарний, пров., укр
Смарагдовий, пров., укр
Смирнівська, вул., укр
Смілянська, вул., укр
Смілянська 1-а, вул., укр
Смілянська 2-а, вул., укр
Смоленська, вул., укр
Смоленський, пров., укр
Смольна, вул., укр
Снегірівський, пров., укр
Сніжківська, вул., укр
Собінова, вул., укр
Соборний, пров., укр
Соіча, вул., укр
Сокільницька, вул., укр
Соколовська, вул., укр
Соколовський, пров., укр
Солдатська, вул., укр
Солдатський, пров., укр
Соляниківський, пров., укр
Сомівська, вул., укр
Сонцегірська, вул., укр
Сонячногірська, вул., укр
Соняшникова, вул., укр
Соняшниковий, пров., укр
Сорочинська, вул., укр
Сортувальний, пров., укр
Соснова, вул., укр
Софіївська, вул., укр
Сохора, вул., укр
Сочинська, вул., укр
Спартака, вул., укр
Спартаківський, пров., укр
Спиридонівська, вул., укр
Спортивна, вул., укр
Спортивний, пров., укр
Срезневського, вул., укр
Срібна, вул., укр
Станіславського, пров., укр
Станційна, вул., укр
Стара Відрадненська, вул., укр
Старий Куток, вул., укр
Старицького, вул., укр
Старобільський, пров., укр
Старова, вул., укр
Староверещаківська, вул., укр
Старо-Григорівська, вул., укр
Стародесятисажнева, вул., укр
Стародубська, вул., укр
Старо-Іскринський, пров., укр
Старо-Кримська, вул., укр
Старо-Кримський 1-й, пров., укр
Старо-Кримський 2-й, пров., укр
Старомалоосновянська, вул., укр
Старо-Московський, пров., укр
Старопрудна, вул., укр
Старопрудний, пров., укр
